Country_name,Country_code,Avg_mig,Health_exp,Consum_exp,National_incP.C,National_inc,Prim_enrol_rate,Current_accbal,Employers_total,Employment_serv,Employment_indus,Employment_agri,Expense,GDP_growth,Hightech_exports,HIV_incidence,Labor_particip_rate,Life_expect_birth,Pop_total,Pop_density,Pop_slums,Tax_revenue,Tech_grants,Lit_rate15_24,S&P_equityindex,Reg_business,migration
Lesotho,LSO,-35897.5,8.677875,50.12355,0,0,76.394375,2.456425,0.25,19.05,9.5375,21.748925,29.0366,4.2423,825134.6917,2.6492,71.7246,49.215825,1867183.935,61.50145,31.375,31.739325,20358125,0.89805,0,6.070525,2
Liberia,LBR,-8879.6875,5.965175,40.47295,-0.0355,2.347775,19.973725,-25.660425,1.025,14.025,3.2,23.5828,0.18685,-1.502725,0,0.23665,61.21585,53.6685,3023318.321,31.388275,33.825,0.190375,25611958.33,0.6433,0,3.2,2
Lithuania,LTU,-113054.875,1.343575,42.978325,5.236975,4.297875,72.23045,-6.86445,1.628425,43.40695,20.602775,10.88035,9.91475,3.496925,489864307.7,0,71.1846,71.323425,3402001.548,54.276025,0,5.5922,0,0.5003,5.295433333,5.40385,2
Luxembourg,LUX,27035.25,4.540475,28.01955,0.845425,2.0428,72.7365,6.635475,3.652925,76.841675,20.688325,17.47715,34.951525,3.7232,802162168.6,0,64.7675,78.297775,451088.0536,137.6908,0,24.377175,0,0,5.286366667,2.5,3
Macao,MAC,35094.9375,5.62675,47.93145,0,0,21.603325,21.0918,2.53055,72.86125,27.705825,3.6514,10.282175,9.303525,17643306.48,0,70.616675,77.936625,452967.5,18051.72473,0,17.616625,0,0.75155,0,0,3
Macedonia,MKD,-40334.0625,2.0974,67.414975,2.67505,2.8199,70.07375,-3.8565,4.20855,36.160225,24.18695,16.64975,22.152375,1.153575,27571597.7,0,61.572525,73.3925,2021935.863,79.691125,0,13.532975,50554041.67,0.7464,0,7.4936,2
Madagascar,MDG,-5562.5,6.91375,95.70125,-0.9897,1.994025,48.892625,-10.052525,1.841675,11.2875,4.2625,42.826075,8.025675,2.34785,4009954.042,0.0442,88.31625,58.859275,16906061.86,29.070175,83.05,9.7164,92636750,0.7189,0,7.804475,2
Malawi,MWI,-252084.75,4.885875,94.15375,2.0778,4.2703,73.133625,-9.672875,0,7.125,3.7,16.025,9.977375,4.4333,1207031.554,1.95165,80.416675,47.970625,12095026.06,128.28835,66.8875,7.447,95453791.67,0.469525,0,7.423075,2
Malaysia,MYS,484879.3125,6.736675,78.3321,4.2187,6.40885,96.238175,6.8759,3.26165,52.792925,30.506675,11.80965,13.836675,6.165725,41900336212,0.1083,63.6975,72.969975,24190366.84,73.62765,0,11.446075,73960041.67,0.998825,8.1258,7.054475,4
Maldives,MDV,-889.4375,4.167325,58.642125,0,0,72.774875,-10.61545,3.71875,55.815,21.7175,16.998175,23.231525,4.7639,0,0,59.72125,70.99205,303781.7024,1012.605675,0,12.303325,7618875,1.001725,0,3.96795,2
Mali,MLI,-123626.25,7.010275,90.5961,0.622425,3.62265,43.250075,-7.35225,0.55,26.325,9.65,32.9231,9.2935,4.515025,1649976.591,0.1983,56.353725,51.1598,12036493.43,9.864425,73.770825,9.372425,119851416.7,0.475025,0,7.3141,2
Malta,MLT,7410.3125,6.269375,83.5553,0,0,47.940225,-3.942025,3.257525,52.1825,21.051675,41.777375,76.528175,3.5525,1092313252,0,59.027475,78.5506,391955.3274,1232.03205,0,45.84695,1586000,1.02195,0,2.5,3
Marshall Islands,MHL,0,13.78435,40.21955,0,0,49.2259,-4.0022,0.25,38.679175,6.45,5.525,0,2.644675,0,0,0,32.90275,51497.18453,286.697875,0,0,3297541.667,0.2515,0,3.955125,3
Mauritania,MRT,-1181.25,15.237725,40.00095,0.9936,3.8957,63.582475,-3.19595,0,0,0,0,0,4.192725,0,0.08835,51.900825,60.3453,2910238.774,2.82355,19.975,0,43238083.33,0.578025,0,7.615375,2
Mauritius,MUS,-11784.8125,3.987875,83.103025,2.426,3.160075,95.02355,-3.2478,3.32665,52.599175,35.973325,13.500025,18.44345,4.644525,46422281.07,0.095,63.58125,71.715675,1188550.911,585.493075,0,17.10305,21468208.33,0.759975,11.65536667,4.958325,2
Moldova,MDA,-62662.5,6.285275,47.525325,4.91435,4.7513,69.535275,-7.3108,0.607825,41.536125,17.954475,24.166575,22.674475,3.3195,9393373.625,0.03335,59.8075,67.79745,3622873.786,126.118325,0,12.78735,40046916.67,0.501025,0,7.583325,2
Mongolia,MNG,-35700.125,3.61175,40.45205,2.588425,3.3819,90.60865,-4.39815,1.096875,41.584725,16.22915,29.221225,20.6763,4.045925,2154846.875,0.01,62.999175,64.056125,2471994.185,1.591175,61.23,16.288525,64172291.67,0.75875,0,5.237175,2
Montenegro,MNE,-10033.1875,5.6999,62.797025,0,0,72.36265,-14.9023,0,53.4075,14.8225,3.5825,0,2.4674,2780424.175,0,60.360425,74.020025,612615.4286,45.547425,0,0,11202722.22,0.748475,0,5.025,2
Morocco,MAR,-568761.0625,6.56975,90.347425,2.51355,3.835625,78.637525,-0.7744,2.437825,46.8375,27.712775,29.576725,25.832525,3.83595,510949331.2,0.01,54.45875,69.28045,29379045.48,65.828025,21.670825,20.74525,285457291.7,0.76385,9.202466667,5.03845,1
Mozambique,MOZ,153907.5,5.16155,90.9804,3.31485,6.382875,64.0256,-10.8502,1.7,8.05,2.55,20.125,11.35215,6.70755,8953807.546,1.0742,84.9321,49.13775,19584111.03,24.904125,78.583325,8.925775,183755166.7,0.522125,0,9.673075,3
Myanmar,MMR,-1125605.188,4.94645,47.6999,-4.5804,-4.4094,67.016075,1.35925,0,11.61875,8.275,16.5548,2.286125,9.931025,29454.5,0.095,80.418325,62.48795,48194801.25,73.7554,33.625,3.68875,43241250,0.491825,0,3.4375,1
Namibia,NAM,-23244.125,2.9739,42.900775,3.3924,5.54815,87.004825,2.847175,4.413875,52.00625,14.3875,27.767775,28.27455,4.282675,42842376.76,1.70085,60.788325,58.471175,1912529.958,2.323025,33.879175,26.67845,53014791.67,1.052025,7.8558,7.5,2
Nepal,NPL,-641656.9375,11.04645,44.398025,1.9072,2.843575,41.432075,-1.154975,1.9,17.20625,9.675,39.819875,11.392925,4.3608,3737571.795,0.0325,87.06125,62.958975,24044409.23,167.840525,62.833325,9.343725,120999958.3,0.521425,0,5.25,1
New Zealand,NZL,94195.1875,1.737125,38.178875,1.45315,2.76425,98.6299,-3.205875,0,68.60965,22.9454,11.454375,25.744775,2.7,427747784.9,0,76.008325,78.7762,3971170.833,15.08175,0,22.1124,0,0,2.7853,1.22115,3
Nicaragua,NIC,-150312.125,8.22295,87.226225,3.55505,5.195375,89.1649,-17.1283,3.4452,45.66,15.905825,26.22615,17.137425,2.92995,3865613.821,0.03585,62.611675,70.18635,5128895.577,42.620025,59.10625,13.523575,108498750,0.78645,0,6.21155,2
