ID,bstatus,trans_cf_td,trans_ca_cl,trans_re_ta,trans_ni_ta,trans_td_ta,trans_s_ta,trans_wc_ta,trans_wc_s,trans_c_cl,trans_cl_e,trans_in_s,trans_mve_td
3312,1,1.369150105,0.158369912,6.266448395,7.930273966,0.33690447,0.355401639,6.628488703,1.615465926,0.050055063,5.754779166,0.494080944,1.47E-05
3313,1,1.369125236,0.057995178,6.258330476,7.91203478,0.327073363,0.539141873,6.581585357,1.615361643,0.070275083,5.75393401,0.475295866,2.75E-05
3314,1,1.369154541,0.0975524,6.259427256,7.916287975,0.437740508,0.525822205,6.597651887,1.61538563,0.049851292,5.746660686,0.473454095,1.60E-05
3318,1,1.369116054,0.055396758,6.256836536,7.8938465,0.467202816,0.454711983,6.563722343,1.615311863,0.04912649,5.744049181,0.476349476,5.65E-06
3321,1,1.369144851,0.085534664,6.140744355,7.922778783,0.583251823,0.559901658,6.56572538,1.615341525,0.054688434,5.749857313,0.473955376,8.95E-06
3332,1,1.369153171,0.147338123,6.263863471,7.931970479,0.289156394,0.199528605,6.611424636,1.615430858,0.055551335,5.752466509,0.480307421,3.33E-06
3345,1,1.369195727,0.252846306,6.269868458,7.934113266,0.19245216,0.433468138,6.651521668,1.6155,0.055287033,5.75182818,0.474269838,3.13E-04
3346,1,1.369090683,0.085772199,6.250921763,7.898472284,0.321207512,0.483515738,6.577315467,1.615345634,0.043042304,5.737564389,0.484912574,1.86E-04
3349,1,1.369112951,0.082142132,6.253209558,7.890986268,0.330569905,0.508281513,6.576048418,1.615347994,0.047389635,5.745333405,0.477069031,2.13E-05
3357,1,1.369129863,0.217701167,6.268030361,7.921904136,0.256955821,0.581828136,6.643404198,1.615449545,0.055484829,5.752931372,0.48337837,4.05E-05
3359,1,1.369152298,0.046542633,6.261537952,7.926879799,0.289316307,0.425923419,6.579005948,1.615336671,0.057353474,5.752693148,0.475436394,3.99E-05
3360,1,1.369160929,0.216628761,6.270912267,7.93275848,0.208605446,0.52874851,6.634171047,1.615443964,0.06485839,5.751797137,0.482416043,5.68E-05
3366,1,1.369161789,0.233897286,6.275129283,7.935266035,0.237535161,0.232235716,6.649215066,1.615637171,0.070590245,5.751835067,0.515600827,6.53E-05
3367,1,1.369100314,0.073974917,6.249280681,7.905573664,0.324545615,0.308318779,6.569047975,1.615258695,0.04167648,5.748553047,0.488375612,5.21E-07
3372,1,1.369144992,0.141701803,6.265516286,7.929664206,0.200776242,0.389627784,6.619192833,1.615432771,0.080193861,5.756263111,0.489470522,7.70E-05
3374,1,1.369143723,0.013651654,6.250798007,7.904873058,0.527553654,0.106855662,6.50632566,1.61383101,0.044566997,5.74231228,0.4770839,3.52E-06
3377,1,1.36915768,0.209350185,6.266862096,7.931458574,0.171722998,0.437193558,6.644889763,1.615483991,0.05706865,5.75251932,0.48338966,3.48E-04
3378,1,1.369169987,0.202755169,6.271295214,7.935898095,0.18454683,0.283339171,6.619112979,1.615451873,0.044947358,5.751430793,0.478232791,5.70E-05
3381,1,1.369157044,0.09809127,6.261797072,7.922155416,0.342448969,0.265983402,6.582585322,1.615287692,0.04400462,5.738037995,0.494295016,3.68E-05
3385,1,1.369143675,0.139095197,6.256439399,7.919680471,0.421667904,0.449120042,6.615611233,1.615418717,0.04689446,5.762934105,0.48243794,1.74E-05
3388,1,1.369137253,0.119290226,6.2594902,7.925051252,0.349713118,0.397711613,6.605864457,1.61539771,0.065494138,5.755910886,0.483319356,1.36E-05
3390,1,1.369101619,0.025524929,6.234211384,7.917659727,0.20495028,0.105074199,6.570952456,1.614823438,0.0473111,5.752676731,0.475698902,1.13E-04
3403,1,1.369133999,0.120166197,6.25892433,7.9134377,0.504965417,0.277753118,6.606651145,1.615399026,0.050743925,5.749160812,0.473431539,6.88E-06
3406,1,1.369145957,0.045841749,6.246809997,7.91974458,0.446971281,0.342448542,6.565167861,1.615266697,0.041700365,5.744821367,0.476169721,1.18E-05
3407,1,1.36911865,0.049243615,6.264055086,7.927341089,0.094438316,0.198156984,6.584606993,1.615245454,0.043565045,5.751670633,0.474119441,7.20E-04
3415,1,1.369074381,0.054588934,6.221073471,7.796778769,0.657458995,0.44866213,6.473280366,1.615122117,0.041960657,5.74850618,0.489737549,8.26E-05
3422,1,1.365682735,0.038732568,6.055874754,7.447744529,0.108887921,0.193810794,6.500646335,1.614646371,0.052967902,5.750556585,0.493079068,0.005367361
3432,1,1.369153542,0.137434284,6.264615279,7.932054762,0.422007757,0.314682291,6.609469234,1.615409556,0.032267219,5.754484837,0.47512237,1.71E-05
3433,1,1.369141434,0.082552875,6.260632807,7.919371463,0.29820704,0.350421668,6.59235766,1.615355229,0.046697594,5.752630275,0.473245735,3.60E-05
3435,1,1.369157403,0.230762149,6.268883876,7.933164997,0.236589167,0.54984187,6.649339657,1.615463693,0.050087556,5.752328144,0.486229497,1.14E-04
3436,1,1.369151444,0.096570285,6.264352967,7.931154725,0.412149803,0.364159641,6.597796043,1.615373687,0.045655087,5.712537035,0.475110356,4.22E-06
3444,1,1.369147296,0.282944318,6.274528749,7.930229057,0.116124634,0.539303676,6.655197011,1.615474967,0.063634021,5.751509934,0.486856868,1.09E-04
3449,1,1.369159663,0.214648928,6.268348989,7.933143999,0.216452465,0.57202694,6.64180505,1.61544887,0.064304981,5.752249299,0.483865567,6.18E-05
3461,1,1.369143665,0.148306428,6.25916145,7.925513576,0.267611524,0.266692587,6.614291162,1.615434185,0.108214923,5.748523456,0.476578562,1.44E-05
3464,1,1.369133586,0.084661111,6.267796354,7.924389455,0.259095972,0.280309241,6.58213371,1.615293841,0.047443607,5.7574717,0.483053875,4.70E-05
3466,1,1.36914126,0.029136981,6.215379949,7.807184294,0.72084267,0.16964899,6.563259544,1.615028541,0.044449423,5.75029398,0.473899665,5.41E-06
3469,1,1.369195981,0.025982909,6.226430454,7.979607642,0.542467092,0.298486033,6.512369758,1.615031298,0.042873483,5.748492187,0.474034534,6.36E-06
3476,1,1.369150456,0.236275106,6.263366593,7.921170351,0.199359465,0.292388322,6.641156336,1.615539128,0.058097104,5.752743644,0.474429407,1.00E-04
3482,1,1.369133114,0.023804411,6.249497608,7.909317213,0.519331545,0.127824136,6.49586203,1.614034183,0.04221675,5.747547996,0.477036731,7.37E-06
3483,1,1.36903002,0.11503633,6.258723043,7.907033575,0.138533,0.424849266,6.604746889,1.615395439,0.092970706,5.755279633,0.474812419,7.26E-05
3485,1,1.369116772,0.187713322,6.261088975,7.915472178,0.40030659,0.354825724,6.642026084,1.615507451,0.047039199,5.95871769,0.493835833,4.10E-05
3487,1,1.369139504,0.196207239,6.253600769,7.925842613,0.336990691,0.545746824,6.648557728,1.615463358,0.044812473,5.754106295,0.483067529,3.59E-05
3491,1,1.369095867,0.08505547,6.24941182,7.880575846,0.440616297,0.484345688,6.580765325,1.615352155,0.042954319,5.692743404,0.477344016,2.18E-05
3492,1,1.369125622,0.275349002,6.258363891,7.922350065,0.252015767,0.189966324,6.635245654,1.615608034,0.128090799,5.751344867,0.473470966,2.88E-04
3496,1,1.369180957,0.248791345,6.26973634,7.937140891,0.224784239,0.514318091,6.647935145,1.615469214,0.053640833,5.75189981,0.479801947,1.94E-04
